Review,Rating
"It's delicious, cheaper than neighbors. But at that time the tenderloin was a bit hard so it was hard to chew 😣 if it tasted okay, the price was friendly👌🏻 …",4
"One of the places to eat in Suhat Malang which is also recommended, I really like the drinking portions... because there are so many variants and the glasses are quite big too. Excellent service too... just a little is my suggestion... …",5
Delicious and as usual Moen Moen is still cheap. I really enjoyed bringing my parents here,5
"The place is quite comfortable, the food is cheap and delicious, but when I came here my friend had time to write a few suggestions because the potatoes we ordered were still undercooked and the steak seasoning was salty. Uh, the employees …",5
"The bad taste is different from other branches, the rice is too weak and every table lacks sauce and tissue",2
"A favorite place at the start of the month, you can taste delicious food without having to spend a lot of money, the prices are very suitable for student pockets. Thank you Mun Mun.",4
"The price is cheap, the taste is commensurate with the price, recommended for culinary purposes, steaks are cheap, there's nothing to criticize, the service is also good, cashiers and waiters are friendly.",5
"The price is cheap. Suitable for students, the taste itself is according to the price. Strategic location is on the side of the road",4
"affordable price, comfortable place. highly recommended for students because the prices are affordable and there is music that makes you lazy to go home :')",5
Delicious cheap steak in Malang. There's also a lot on the menu but I forgot to take a photo hehe. The place on Jalan Suhat is quite spacious. Highly recommend it hehe,5
"Really like the menu, the price is also right in the pocket, the taste is very good, then the service is friendly and friendly",4
"All the way from Blitar, bought a mosquito racket and got a broken one, hedehh",2
"The taste is not good, the rice is too weak, it's different from the other moments🙏🏻 it's really messy, sorry …",1
"The mainstay option when you want to eat delicious and cheap steak.
Now moving to a new location, more spacious and more comfortable.",5
"I really like Moen Moen steak. The price is also cheaper than others, but the taste is delicious. Many choices of drinks.",5
"I usually eat at the mall because I'm not shopping so try stopping by here, the location is spacious, there are 1st and 2nd floors. …",5
"The solution for people who want to eat steak at affordable prices, tastes good but sometimes the vegetables taste weird (rarely happens), the place is comfortable, the free wifi is fast too, the service is friendly and fast",4
"Asli doesn't regret going to Moen - Moen. The taste is delicious, the spices really taste, the portion is very satisfying and the price is very friendly in the pocket. The place is strategically close to campus, it's also very comfortable, …",5
"Delicious, fast service. Prices are quite friendly. Ok, what a recommendation.",5
"It's delicious, the place is spacious and the prices are OK, the meat is also quite tender. Good place and good food, but not superior so 4/5, well done",4
"I couldn't pay using debit but instead I was told to withdraw cash so I had to wait a long time, a restaurant this size doesn't provide payment using debit.",1
"Sorry, I don't know whether I will come back to this place or not... I know the price is cheap but I hope I will still be given decent food... Or it's okay to increase the price as long as the quality can be maintained. …",2
"nice. affordable. Service is quite fast even when there are lots of visitors.
I feel sorry for the officers at the front whose duties are double: delivering food, cleaning up leftovers, sweeping and mopping. Hu Hu.",5
"The menu is many, delicious and the place is clean",5
"Not bad, the taste matches the price.. murmer and the place is quite clean and comfortable..",5
"I always come here on weekends with my partner, it's cheap and the atmosphere is good",5
"The price is very affordable
Starting from 13 thousand. But basically it just tastes good. It doesn't kick steak. But it's cheap for students... and also the most wanted one. The …",5
"Steak start form 15.5k, it tastes delicious and is served when it's hot, the seasoning is also delicious.",5
The place is cool and quite spacious. The taste of the steak is so-so (according to the price) but the sauce is highly recommended 👍 it's worth a try …,5
"It's delicious, at that price you're really full",4
"The steak is delicious, the place is clean and spacious, the waiters are friendly",5
"Affordable prices, just the right portions, comfortable place, you can add free steak seasoning, but the parking space is a bit narrow",3
"Pretty tasty, cheap. The menu you must try is chicken paprika 😁 I've been here many times, tried other menus but still come back to the chicken paprika menu. But unfortunately the French fries have too much oil. So it's like eating oil 😁 …",5
"OK place to eat. Friendly and fast service, the place is also clean. The food is cheap and tastes delicious. Same as the moment in Surabaya.",5
"Comfort food, easily accepted by many people. You can invite your children to eat too.
There is a baby chair …",2
"How do I feel? The spices are getting lost.. And the taste is no longer the same as dullu...
Hmmmmmm",3
"food prices are affordable, serving is also fast
for the problem of taste, it is slightly inferior to the other side
but for giving brown sauce more than one side …",4
"The service is fast, the place is spacious, always the cheapest and tastiest steaks in Malang",5
Very cheap. Taste & quality according to price. Service ok.,5
"Simple place, standard price, taste according to the price too",5
"In a pandemic like now, the health protocol is good..
But not suitable for smokers, because here on the 1st and 2nd floors smoking is not allowed.",5
"The place is nice, the food tastes good, and the prices are affordable",5
"a place to eat delicious crispy steak at affordable prices. The menu is not very extensive, limited to chicken steak and beef steak on the hot plate, there is also a choice of pasta and rice menus but only one variant. For those of you who like steak on a hot plate, you can try Moen2 as an alternative.",5
"All in terms of taste, the wait for the food is also good, fast, clean, hygienic and the price is very affordable",4
The best option when you're always confused about what to eat... the chicken paprika is delicious... the spacious place has 2 levels,5
"The taste and price are the same. Recommendations for you guys to date with crushes. Haha
I ordered the double cichen and the usual one.",5
"The place is quite nice...the prices are also cheap, the taste of the food is worth the price. For those who want to eat steak but are cash friendly, Moen Moen steak could be an alternative ☺. However, it's a shame that cleanliness is not maintained, the cup for tea is dirty, which immediately decreases your appetite 🙈 …",3
"The place is cozy.
It's just that the steak here doesn't have much seasoning. Not like the outlets in the Mall.",4
Very satisfying to play and just to stop by after being tired of traveling to Batu City / Malang,5
"A comfortable place to eat, providing a variety of varied menus at relatively affordable prices.
For the size of the taste, according to the price. Strategic location, parking space is also not bad.",4
"The prices for steaks were affordable, but at 9 pm, the tenderloin steaks and french-fries had run out, but be advised because it was almost time to close the order. …",5
"The place is suitable for families
Can be used as a place to hang out and relax on the 2nd floor
Cheap and cheerful steak 😁 …",5
"Really worth it considering the price, 2 days in Malang and eating this continuously. Must try. The tenderloin steak has thick meat 🤤🤤 …",5
The parking is not suitable.... those who park sitting are just lazy....,5
"Delicious food, comfortable place, friendly crew, suitable for gathering to eat with family or friends",5
"The steak had no taste, only a little sauce. The tenderloin tastes like rubber and fishy. The French Fries don't seem to be seasoned. Only the chicken steak is not bad. It's not worth it at that price.
But the place is comfortable, clean, and free wifi",1
"Very long service, 1 hour waiting for the food to arrive, not to mention the queue... please improve the service so that customers don't get bored of this restaurant again...",1
"Order chicken hotplate, offered double. Because I was afraid that most people would still order chicken hotplate, they wanted to order rice but it was gone, and so was the iced tea. …",2
The price for the steak is ridiculous. The menu that is provided is only chicken steak and tenderloin. If you're looking for beef at the next shop.,4
The waiter who wears glasses is very friendly...,5
"The service is fast and feels great
Also suitable for families",5
"The steak is really a winner, the seasoning is what makes you addicted, but the service takes a really long time. Please improve human resource management further",5
The steak is cheap and tastes pretty good 👍 …,5
"Cheap, comfortable, fast food, it's just right, not inferior to similar steaks
1 portion of chicken steak 13,000
1 tea 5000 …",5
Place. Comfortable. Delicious taste... Not inferior to the neighboring steak 😁. But unfortunately it only accepts cash payments. There is no debit/digital payment. Create long cashier queues. …,4
"Usually never disappointed with the service of the Moen steak at the Soehat branch, but this time I was a bit disappointed with the service apart from the long wait for ordering take away, almost half an hour, another mistake..... Ordered …",3
It's good that the crew is friendly... It feels pretty good,5
"Not bad.. the price is still affordable
Just tried eating here for the first time",4
"Clean place, friendly service and a decent menu 👍👍👍 …",5
"Chicken steak and meat covered in flour are like steak n shake, the drinks are soda and yogurt, the prices are cheap, just right for school children and students, it's cheap and cheerful hehheh, the location is strategic because it's on a big road, but the place isn't clean.",3
I always like it when I come here with my besties. Food and place prices are very affordable. Recommended 👍 …,5
"Pretty fast service...
The price is cheap...
Suitable for student pockets
😍😍😍 …",5
Mayan is the taste. Strategic location. Affordable prices,4
Tasty and pocket-friendly prices,5
"T4 which is fun to hang out with""
Affordable prices ..
T4 roadside is easy for vehicles to access",4
"I made a reservation but it was occupied by someone else, the service was slow and lacking, not recommended for fasting and gatherings, in the no smkong area there were still people smoking,",1
"The taste of the food is just normal, yes it's safe, but it's not really delicious, I recommend the Gondez noodles, because they don't taste salty. What really needs to be noted here is the long cashier service. The condition of the …",3
"The price is affordable, the taste is really good but the service is still lacking... until I stand waiting for the table to be cleaned😪 because the cleaning service actually cleans the empty table... next time I will give 5 stars if the service is as good as before... …",2
The place is comfortable... the steaks are cheap. Health protocols are also implemented here.,5
Now moved to a cleaner and better place,4
"Nice, spacious place",5
"Prices are standard, only food service takes a bit of time. I've finished drinking before the food comes..wkwk",5
I made a reservation to break the fast but the food took a long time to arrive until Isya and then the drinks came first so if you order hot tea at opening time it's already cold tea.,3
"The prices are really affordable...the taste is okay, the atmosphere is okay for gathering with family, friends or alone, it's okay too. Location is also easy to reach.",3
"The place is cozy. The waiter is friendly. The steak is delicious. My favorite menu is chicken paprika, even though sometimes the rice is hard, it's still a mainstay menu when you go to steak every now and then :)",5
"Cheap, delicious, clean place, fast and friendly service.
Keep up the good work 😊👍 …",5
"Most like the double mix package menu, really a favorite.",5
"Can't pay using debit, told to take money first so long wait👎 …",1
"The place to eat is just ordinary like a restaurant in general, in terms of taste, it's just ordinary, not a special taste, the price is still affordable",4
"It tastes good, commensurate with an affordable price",4
"Cheap and cheerful steak, the taste is also pretty good 😍😍
The place is clean, the seats are also clean and there are quite a lot of them. There are 2 floors …",5
"The steak is delicious and the price is cheap, suitable for students. The place is also comfortable.",5
"Located in the Blimbing area where the location is very strategic, apart from that it is also located on Matos 3rd floor. The food tastes delicious and the prices are still affordable",4
"The toilets are really clean, there's more tissue, there's rarely anything like this, the second floor is nice, it's recommended, it's wider and has a good view, the 2nd floor is more aesthetic",4
"The steak is bouncing, cheap too. The place is strategic, the best is on the 2nd floor near the window",4
"Comfortable place, quite clean, delicious food at affordable prices",4
"Standard prices, the restaurant is just right when you're eating, often Rami, so the service takes a long time, for the employees, it needs to be added........ Many people queue, poor little children, until some are crying, hungry",4
"Prices have all gone up, take away steak and potato plates only get 1 sauce. The potato plate contains a little. Payment can only be cash",2
"The menu isn't much, but the steak seasoning is delicious, prices are pocket-friendly 👍 …",5
Just... the sauce doesn't taste enough... sorry,3
"The most recommended steak in Malang, fast, cheap, delicious, lots of menu variations",5
"Apparently this is my favorite steakhouse, before it opens, the customers are already coming. And it tastes delicious, at a friendly price. When it opened straight away the queue was very long...",4
"Good service, fast serving of food. The atmosphere is decent, the taste of the food is pretty good, different from the other side.
Suggestion: for qris payments, it can be held, for food correction, the taste is improved.",4
The potatoes taste really tasty... The steak sauce is a little...,4
"Trying testing with my wife at the end of my life...

Hopefully it's as delicious as my nephew said.",5
"In the past, I often ate this steak in Jogja, now I tried it in Malang and it turns out the taste is quite good, the price is relatively cheap, the place is comfortable and quite spacious",5
Suitable for hanging out with friends and economical prices for students..,4
"The packaging was super long... I had to ask several times... from those in a good mood to a bad mood... even though those who ordered food at the place really quickly... and it turned out that the vegetables, potatoes and meat weren't even …",1
"The price is cheap, if you think it's according to the price, it's a shame that Mr. her t",4
"the price is relatively cheap, but the taste is still inferior to WSS si, the sauce is really strong whether there is a lot of micin or what",4
"For meat, 2 stars, yes. Very less soft. For 5 star chicken.",3
"the food is delicious, the prices are affordable, the service is good, but the place isn't big enough because it's always busy, so you have to look for a seat quickly, hahaha",5
"The taste corresponds to the price... Far from expectations...
From 1-10 I would give it a 5",3
Cheap steak huh. It's not bad in terms of taste. The place is quite spacious.,4
"Great, very good service and consistent taste at this branch.

You can make it with a group or alone and it's quite cheap. Parking is large enough for cars and motorbikes. There are handymen who really help",4
"A pocket-friendly steak... For the taste, it's not bad... It's cheap",4
"I really like Moen Moen's steaks, with prices that are very pocket friendly for students
And it tastes that good...
It's really great👍 …",5
Not bad cooking,3
"great place, decent food doesn't drain the bag",5
"The new place is okay, comfortable and more spacious, clean... affordable prices, and friendly. Tastes good",5
"Ok, all.. Prices, portions etc.. Minus just takes a while.",4
It's busy.. look at it from the other side (pia bowl).. it looks delicious.. stop by next time..,5
"Well, there's a price and there's a taste. But for a steak price of 25 thousand, it's not bad. In my opinion, the place is less comfortable, especially on the top floor. It's hot, the wall fan can't be turned on. Only the employees are …",3
"It feels the same as moments in other places, delicious, you can see the view of the highway if you eat on the 2nd floor",5
The steak is delicious... Steady... And the price is affordable... Great... Suitable for boarding school children... The place is also cozy,5
"Family regular steak, friendly prices, the menu is delicious especially the gondes noodles 🤤 …",5
Great friendly service and definitely a clean place,5
"Save affordable prices and the food is delicious, the chicken steak is tender not hard...my child's favorite is eating here..",5
"Cheap version of WSS :D

Strategic place. …",4
"It's delicious, I suggest that when you go there, don't queue at rush hour",5
"Taste according to price, always busy",4
"Comfortable place, delicious food suitable for families and friendly prices",4
"Cheap and cheerful guys, the place is also clean and comfortable",5
"The food here is delicious, the service is really friendly 🥰🥰 …",5
"in terms of taste and appearance, it's quite delicious, according to the lahya jarga. but it's quite cheap. in terms of comfortable place, but sometimes it feels a bit less clean/too stuffy, but it's still okay. in terms of service, quite friendly.",3
The taste is still consistent from before... it's just that the double portion is a bit less now hihi,4
"The place is quite strategic on the side of the road in the Malang city area. There are also two floors so it can receive quite a lot of visitors. In terms of food quality and price, it is very tasty and affordable. It's just that maybe …",4
Not bad for eating steak for 50K for two,5
"It's delicious, it's cheap again.",5
"Sorry, but in our opinion, it wasn't clear, at first we were told to wait upstairs when we made a reservation, then the order wasn't delivered until it took a long time and we wanted to break the fast, the reason was that we hadn't received …",1
Including culinary rather new in Malang. The steak seasoning is better than any of its rivals. Great,4
"The steak is delicious, but unfortunately every time I come here I always don't get gondez noodles, even though they are really delicious 🥲 …",5
The steak is delicious!! Prices are also affordable..,4
"The beef tenderloin is really a winner. At first I was a little afraid that the meat would be tough, but it turned out not to be the case at all. worth it poll😍 …",5
"Disappointing service.
Suggestion.
As long as it's closing time …",1
"The food is delicious, a must try for those who have never been",4
"Clean room, friendly service, quickly served, spacious parking, affordable prices, tastes like the price......",5
"The health protocols are lacking, there is no temperature check in front of the door, the soap in front is like normal water (even if you use a foot pedal), the place is not clean, because there is a fan so used tissues are scattered …",3
"the taste of the steak is great....
the price fits the pocket
cheap but not cheap",4
"Spacious place, ample parking. Only the cleanliness of the place needs to be improved, there is a lot of dust on the table, especially the long table above, and the cleanliness of the cutlery, on my hot plate there are dead cockroaches …",2
The location is right on the side of the road. The price is cheap.,4
"The price is pretty good compared to the others, it's just that sometimes the meat is hard or undercooked",4
"A place to eat steak in Malang city with friendly prices but with dishes that are no less delicious, right? Very suitable for students who want to eat steak at really student prices",5
"Affordable prices, standard taste. but my stomach is full. Parking the car is a bit difficult because it is in a row of shophouses.",4
